按键记录日志 - 2025-03-17 20:25:13.573

2025-03-17 20:32:19.833 - d
2025-03-17 20:32:19.976 - d
2025-03-17 20:32:20.163 - f
2025-03-17 20:32:20.220 - s
2025-03-17 20:32:20.437 - f
2025-03-17 20:32:20.453 - s
2025-03-17 20:32:20.586 - f
2025-03-17 20:32:20.649 - s
2025-03-17 20:32:20.805 - s
2025-03-17 20:32:20.923 - f
2025-03-17 20:32:20.966 - d
2025-03-17 20:32:20.970 - s
2025-03-17 20:32:21.494 - Key.backspace
2025-03-17 20:32:21.911 - Key.backspace
2025-03-17 20:32:21.945 - Key.backspace
2025-03-17 20:32:21.979 - Key.backspace
2025-03-17 20:32:22.013 - Key.backspace
2025-03-17 20:32:22.046 - Key.backspace
2025-03-17 20:32:22.080 - Key.backspace
2025-03-17 20:32:22.114 - Key.backspace
2025-03-17 20:32:22.153 - Key.backspace
2025-03-17 20:32:22.186 - Key.backspace
2025-03-17 20:32:22.222 - Key.backspace
2025-03-17 20:32:22.253 - Key.backspace
2025-03-17 20:32:22.286 - Key.backspace
2025-03-17 20:32:22.317 - Key.backspace
2025-03-17 20:32:22.351 - Key.backspace
2025-03-17 20:32:22.654 - Key.up
2025-03-17 20:32:23.061 - Key.up
2025-03-17 20:32:23.440 - Key.up
2025-03-17 20:32:23.814 - Key.up
2025-03-17 20:32:24.820 - Key.down
2025-03-17 20:32:25.280 - Key.up
2025-03-17 20:32:25.917 - Key.enter
2025-03-17 20:32:44.518 - Key.up
2025-03-17 20:32:45.098 - Key.up
2025-03-17 20:32:45.450 - Key.up
2025-03-17 20:32:45.867 - Key.up
2025-03-17 20:32:46.298 - Key.down
2025-03-17 20:32:46.946 - Key.up
2025-03-17 20:32:47.594 - Key.up
2025-03-17 20:32:49.318 - Key.up
2025-03-17 20:32:49.752 - Key.up
2025-03-17 20:32:50.349 - Key.enter
2025-03-17 20:32:51.625 - Key.up
2025-03-17 20:32:51.981 - Key.up
2025-03-17 20:32:52.278 - Key.up
2025-03-17 20:32:52.475 - Key.up
2025-03-17 20:32:53.243 - Key.right
2025-03-17 20:32:53.659 - Key.right
2025-03-17 20:32:53.694 - Key.right
2025-03-17 20:32:53.728 - Key.right
2025-03-17 20:32:53.762 - Key.right
2025-03-17 20:32:53.795 - Key.right
2025-03-17 20:32:53.829 - Key.right
2025-03-17 20:32:53.863 - Key.right
2025-03-17 20:32:53.898 - Key.right
2025-03-17 20:32:53.931 - Key.right
2025-03-17 20:32:53.966 - Key.right
2025-03-17 20:32:53.999 - Key.right
2025-03-17 20:32:54.032 - Key.right
2025-03-17 20:32:54.066 - Key.right
2025-03-17 20:32:54.104 - Key.right
2025-03-17 20:32:54.133 - Key.right
2025-03-17 20:32:54.167 - Key.right
2025-03-17 20:32:54.200 - Key.right
2025-03-17 20:32:54.235 - Key.right
2025-03-17 20:32:54.269 - Key.right
2025-03-17 20:32:54.302 - Key.right
2025-03-17 20:32:54.336 - Key.right
2025-03-17 20:32:54.369 - Key.right
2025-03-17 20:32:54.605 - Key.right
2025-03-17 20:32:54.916 - Key.right
2025-03-17 20:32:55.757 - Key.right
2025-03-17 20:32:56.173 - Key.right
2025-03-17 20:32:56.399 - Key.right
2025-03-17 20:32:56.616 - Key.right
2025-03-17 20:32:56.922 - Key.backspace
2025-03-17 20:32:57.338 - Key.backspace
2025-03-17 20:32:57.372 - Key.backspace
2025-03-17 20:32:57.406 - Key.backspace
2025-03-17 20:32:57.528 - Key.backspace
2025-03-17 20:32:57.671 - Key.backspace
2025-03-17 20:32:57.967 - Key.backspace
2025-03-17 20:32:58.106 - c
2025-03-17 20:32:58.259 - Key.tab
2025-03-17 20:32:58.721 - Key.shift
2025-03-17 20:32:58.996 - Key.tab
2025-03-17 20:33:00.274 - Key.shift
2025-03-17 20:33:00.374 - _
2025-03-17 20:33:00.782 - Key.tab
2025-03-17 20:33:01.524 - Key.enter
2025-03-17 20:33:04.700 - Key.up
2025-03-17 20:33:05.062 - Key.up
2025-03-17 20:33:05.446 - Key.up
2025-03-17 20:33:05.945 - Key.up
2025-03-17 20:33:06.308 - Key.up
2025-03-17 20:33:07.093 - Key.enter
2025-03-17 20:33:34.605 - c
2025-03-17 20:33:34.804 - h
2025-03-17 20:33:34.888 - a
2025-03-17 20:33:34.956 - n
2025-03-17 20:33:35.016 - g
2025-03-17 20:33:35.279 - Key.backspace
2025-03-17 20:33:35.413 - Key.backspace
2025-03-17 20:33:35.537 - Key.backspace
2025-03-17 20:33:35.674 - Key.backspace
2025-03-17 20:33:35.738 - Key.shift
2025-03-17 20:33:36.222 - Key.backspace
2025-03-17 20:33:38.188 - c
2025-03-17 20:33:38.312 - m
2025-03-17 20:33:38.759 - Key.backspace
2025-03-17 20:33:39.271 - m
2025-03-17 20:33:39.385 - d
2025-03-17 20:33:39.774 - s
2025-03-17 20:33:40.241 - Key.enter
2025-03-17 20:33:40.635 - Key.backspace
2025-03-17 20:33:40.765 - Key.backspace
2025-03-17 20:33:40.889 - Key.backspace
2025-03-17 20:33:41.081 - o
2025-03-17 20:33:41.242 - m
2025-03-17 20:33:41.387 - m
2025-03-17 20:33:41.557 - a
2025-03-17 20:33:41.664 - n
2025-03-17 20:33:41.741 - d
2025-03-17 20:33:41.948 - s
2025-03-17 20:33:42.129 - Key.enter
2025-03-17 20:33:42.594 - .
2025-03-17 20:33:43.153 - Key.backspace
2025-03-17 20:33:43.361 - Key.shift
2025-03-17 20:33:43.507 - .
2025-03-17 20:33:43.689 - t
2025-03-17 20:33:43.870 - x
2025-03-17 20:33:44.020 - t
2025-03-17 20:33:44.237 - Key.enter
2025-03-17 20:33:54.745 - q
2025-03-17 20:33:54.870 - i
2025-03-17 20:33:55.195 - Key.backspace
2025-03-17 20:33:55.307 - Key.backspace
2025-03-17 20:33:55.354 - Key.shift
2025-03-17 20:33:55.586 - q
2025-03-17 20:33:55.602 - i
2025-03-17 20:33:55.725 - n
2025-03-17 20:33:55.794 - g
2025-03-17 20:33:55.891 - Key.space
2025-03-17 20:33:56.003 - b
2025-03-17 20:33:56.037 - a
2025-03-17 20:33:56.105 - n
2025-03-17 20:33:56.185 - g
2025-03-17 20:33:56.213 - w
2025-03-17 20:33:56.319 - o
2025-03-17 20:33:56.369 - Key.space
2025-03-17 20:33:56.504 - z
2025-03-17 20:33:56.604 - o
2025-03-17 20:33:56.707 - n
2025-03-17 20:33:56.771 - g
2025-03-17 20:33:56.869 - j
2025-03-17 20:33:56.924 - i
2025-03-17 20:33:56.956 - e
2025-03-17 20:33:57.044 - Key.space
2025-03-17 20:33:57.579 - c
2025-03-17 20:33:57.669 - a
2025-03-17 20:33:57.670 - h
2025-03-17 20:33:57.827 - k
2025-03-17 20:33:57.894 - a
2025-03-17 20:33:57.958 - n
2025-03-17 20:33:58.252 - Key.space
2025-03-17 20:33:58.471 - \
2025-03-17 20:33:59.621 - t
2025-03-17 20:33:59.678 - i
2025-03-17 20:33:59.803 - n
2025-03-17 20:33:59.854 - g
2025-03-17 20:33:59.971 - z
2025-03-17 20:34:00.040 - h
2025-03-17 20:34:00.079 - i
2025-03-17 20:34:00.320 - Key.space
2025-03-17 20:34:00.502 - \
2025-03-17 20:34:01.252 - c
2025-03-17 20:34:01.305 - h
2025-03-17 20:34:01.360 - o
2025-03-17 20:34:01.441 - n
2025-03-17 20:34:01.451 - g
2025-03-17 20:34:01.567 - x
2025-03-17 20:34:01.638 - Key.space
2025-03-17 20:34:01.780 - k
2025-03-17 20:34:01.842 - a
2025-03-17 20:34:01.939 - i
2025-03-17 20:34:02.040 - s
2025-03-17 20:34:02.258 - Key.space
2025-03-17 20:34:02.310 - z
2025-03-17 20:34:02.394 - h
2025-03-17 20:34:02.430 - e
2025-03-17 20:34:02.534 - g
2025-03-17 20:34:02.546 - Key.space
2025-03-17 20:34:02.706 - r
2025-03-17 20:34:02.773 - e
2025-03-17 20:34:02.773 - n
2025-03-17 20:34:02.914 - w
2025-03-17 20:34:02.986 - u
2025-03-17 20:34:03.086 - Key.space
2025-03-17 20:34:03.211 - s
2025-03-17 20:34:03.272 - u
2025-03-17 20:34:03.334 - o
2025-03-17 20:34:03.652 - x
2025-03-17 20:34:03.689 - u
2025-03-17 20:34:03.834 - y
2025-03-17 20:34:03.909 - a
2025-03-17 20:34:03.934 - o
2025-03-17 20:34:04.002 - Key.space
2025-03-17 20:34:04.136 - d
2025-03-17 20:34:04.208 - Key.space
2025-03-17 20:34:04.384 - m
2025-03-17 20:34:04.527 - i
2025-03-17 20:34:04.676 - n
2025-03-17 20:34:04.708 - g
2025-03-17 20:34:04.824 - l
2025-03-17 20:34:04.957 - Key.space
2025-03-17 20:34:05.174 - Key.enter
2025-03-17 20:34:43.632 - Key.cmd
2025-03-17 20:34:44.119 - c
2025-03-17 20:34:45.088 - Key.shift
2025-03-17 20:34:45.854 - Key.cmd
2025-03-17 20:34:45.943 - v
2025-03-17 20:34:46.589 - Key.shift
2025-03-17 20:34:47.047 - Key.enter
2025-03-17 20:34:47.416 - z
2025-03-17 20:34:47.479 - h
2025-03-17 20:34:47.596 - e
2025-03-17 20:34:47.658 - g
2025-03-17 20:34:47.732 - Key.space
2025-03-17 20:34:47.994 - y
2025-03-17 20:34:48.133 - e
2025-03-17 20:34:48.247 - Key.space
2025-03-17 20:34:48.430 - m
2025-03-17 20:34:48.531 - a
2025-03-17 20:34:48.612 - n
2025-03-17 20:34:48.699 - z
2025-03-17 20:34:48.767 - h
2025-03-17 20:34:48.815 - e
2025-03-17 20:34:48.909 - g
2025-03-17 20:34:48.909 - n
2025-03-17 20:34:49.167 - c
2025-03-17 20:34:49.443 - Key.space
2025-03-17 20:34:49.564 - y
2025-03-17 20:34:49.642 - a
2025-03-17 20:34:49.680 - Key.space
2025-03-17 20:34:49.829 - ,
2025-03-17 20:34:50.080 - b
2025-03-17 20:34:50.161 - e
2025-03-17 20:34:50.248 - n
2025-03-17 20:34:50.408 - l
2025-03-17 20:34:50.464 - a
2025-03-17 20:34:50.528 - i
2025-03-17 20:34:50.647 - j
2025-03-17 20:34:50.726 - i
2025-03-17 20:34:50.810 - u
2025-03-17 20:34:50.910 - s
2025-03-17 20:34:50.943 - Key.space
2025-03-17 20:34:51.210 - s
2025-03-17 20:34:51.260 - h
2025-03-17 20:34:51.303 - u
2025-03-17 20:34:51.319 - a
